       value	     chindex	     chlabel	        bini	  binlabel	ERPset
     -14.111	           2	        E104	         571	06_:_60301	
     -25.371	           2	        E104	         572	06_:_60302	
     -13.449	           2	        E104	         573	06_:_60303	
     -19.129	           2	        E104	         574	06_:_60304	
     -10.978	           2	        E104	         575	06_:_60305	
      -8.982	           2	        E104	         576	06_:_60306	
     -11.262	           2	        E104	         577	06_:_60307	
     -14.039	           2	        E104	         578	06_:_60308	
      -6.542	           2	        E104	         579	06_:_60309	
       6.177	           2	        E104	         580	06_:_60310	
     -16.249	           2	        E104	         581	06_:_60401	
     -19.762	           2	        E104	         582	06_:_60402	
     -12.004	           2	        E104	         583	06_:_60403	
     -24.917	           2	        E104	         584	06_:_60404	
